Word                            Count
=====================================
a                                 677
a-piece                             1
abide                               2
able                                1
about                             102
above                               3
absence                             1
absurd                              2
accept                              1
acceptance                          1
accepted                            2
accepting                           1
access                             10
accessed                            1
accessible                          1
accident                            2
accidentally                        1
accordance                          2
account                             1
accounting                          1
accounts                            1
accusation                          1
accustomed                          1
ache                                1
across                              5
act                                 1
active                              2
actual                              1
actually                            1
ada                                 1
added                              23
adding                              1
addition                            1
additional                          4
additions                           1
address                             2
addressed                           2
addresses                           1
addressing                          1
adjourn                             1
adoption                            1
advance                             2
advantage                           3
adventures                         11
adventures—beginning                1
advice                              3
advisable                           1
advisable—’                         1
advise                              1
affair                              1
affectionately                      1
afford                              1
afore                               1
afraid                             12
after                              40
after-time                          1
afterwards                          2
again                              80
again:—                             2
against                            10
again—‘_before                      1
age                                 4
agent                               1
ago                                 2
agony                               1
agree                              11
agreed                              1
agreement                          18
ah                                  1
air                                14
airs                                1
ak                                  1
alarm                               2
alarmed                             1
alas                                4
alaska                              1
alice                             384
alice)—“and                         1
alice’s                            18
alive                               3
all                               194
allow                               3
almost                              8
alone                               5
along                               5
along—“catch                        1
aloud                               5
already                             3
also                                4
alteration                          1
altered                             1
alternate                           1
alternately                         1
altogether                          5
always                             12
am                                 15
among                              12
an                                 60
ancient                             1
and                               861
and—oh                              2
anger                               2
angrily                             9
angry                               5
animal                              1
animals                             4
animal’s                            1
ann                                 4
annoy                               1
annoyed                             1
another                            22
answer                              9
answered                            4
answers                             1
antipathies                         1
anxious                             3
anxiously                          14
any                                75
anyone                              5
anything                           20
anywhere                            3
appealed                            1
appear                              3
appearance                          1
appeared                            8
appearing                           2
appears                             1
applause                            1
apples                              2
applicable                          3
apply                               1
approach                            1
arch                                1
archbishop                          2
arches                              4
archive                            13
are                                70
argue                               1
argued                              1
argument                            4
arguments                           1
arise                               1
arithmetic—ambition                 1
arm                                12
arm-chair                           1
arm-in-arm                          1
arms                                6
around                              3
arranged                            1
array                               1
arrived                             1
arrow                               1
arthur                              2
as                                264
as-is                               1
ascii                               2
ashamed                             2
ask                                11
askance—                            1
asked                              17
asking                              5
asleep                              8
assembled                           2
assistance                          1
associated                          8
at                                218
at!’                                1
ate                                 1
atheling                            1
atom                                2
attached                            1
attempt                             1
attempted                           1
attempts                            1
attended                            1
attending                           3
attends                             1
audibly                             1
australia                           1
author                              1
authority                           2
available                           2
avoid                               1
away                               27
away--you                           1
awfully                             1
axes                                1
axis—                               1
a—                                  1
a—i’m                               1
b                                   2
baby                               12
baby—the                            1
back                               37
back-somersault                     1
backs                               1
bad                                 2
bag                                 1
baked                               1
balanced                            1
balls                               1
bank                                2
banks                               1
bank—the                            1
banquet—                            1
bark                                2
barking                             1
barley-sugar                        1
barrowful                           2
based                               2
bat                                 3
bathing                             1
bats                                4
bawled                              1
be                                165
beak—                               1
bear                                1
bear?—mind                          1
beast                               1
beasts                              2
beat                                4
beating                             2
beautiful                          11
beautifully                         2
beautify                            1
beauti—ful                          1
beau—ootiful                        4
became                              2
because                            13
become                              5
becoming                            1
bed                                 1
beds                                1
bee                                 1
been                               38
before                             41
beg                                 8
began                              57
began:—                             1
begged                              1
begin                              12
beginning                          14
begins                              4
begun                               7
beheaded                            3
beheading                           1
behind                             13
being                              19
believe                             9
believed                            1
belong                              1
belongs                             2
beloved                             1
below                               6
belt                                1
bend                                2
bent                                1
besides                             3
best                               12
better                             14
between                             6
be’—or                              1
bill                               13
bill’s                              3
binary                              1
bird                                2
birds                               9
birthday                            1
bit                                16
bite                                2
bitter—and—and                      1
blacking                            1
blades                              1
blame                               1
blasts                              2
bleeds                              1
blew                                2
blow                                2
blown                               1
blows                               1
blue                                1
body                                2
boldly                              1
bone                                1
bones                               1
book                                7
book-shelves                        1
books                               1
boon                                1
boots                               3
bore                                1
both                               16
bother                              1
bottle                             10
bottom                              4
bough                               1
bound                               3
bowed                               4
bowing                              1
box                                 4
boxed                               1
box—                                1
boy                                 2
boy—and                             1
brain                               1
branch                              1
branches                            2
brass                               1
brave                               1
breach                              2
bread-and-butter                    5
bread-and-butter—                   1
bread-knife                         1
break                               2
breath                              3
breath.’                            1
breathe                             2
breathe’                            1
breeze                              1
bright                              7
bright-eyed                         1
brightened                          2
bring                               2
bringing                            3
bristling                           1
broke                               2
